2025-11-07 17:37:56 | INFO | 开始读取图像：原图.jpg
2025-11-07 17:37:56 | ERROR | 无法读取图像，请检查路径：原图.jpg
2025-11-07 17:37:56 | ERROR | 检测过程出错：图像路径不存在：原图.jpg
2025-11-07 17:38:31 | INFO | 开始读取图像：D:\robotstar__visual\2\2\3-1-3.jpg
2025-11-07 17:38:31 | SUCCESS | 图像读取成功，尺寸：371x496
2025-11-07 17:38:31 | INFO | 检测到目标，位置：(176, 128)，大小：122x105，面积：9557.00
2025-11-07 17:38:31 | SUCCESS | 目标检测完成，共检测到 1 个目标
2025-11-07 17:38:31 | INFO | 检测结果已保存至：检测结果.jpg
2025-11-10 14:43:06 | INFO | 开始读取图像：D:\robotstar__visual\2\2\3-1-3.jpg
2025-11-10 14:43:06 | SUCCESS | 图像读取成功，尺寸：371x496
2025-11-10 14:43:06 | INFO | 检测到目标，位置：(176, 128)，大小：122x105，面积：9557.00
2025-11-10 14:43:06 | SUCCESS | 目标检测完成，共检测到 1 个目标
2025-11-10 14:43:06 | INFO | 检测结果已保存至：检测结果.jpg
2025-11-10 14:44:28 | INFO | 开始读取图像：D:\robotstar__visual\2\2\3-1-3.jpg
2025-11-10 14:44:28 | SUCCESS | 图像读取成功，尺寸：371x496
2025-11-10 14:44:28 | INFO | 检测到目标，位置：(176, 128)，大小：122x105，面积：9557.00
2025-11-10 14:44:28 | SUCCESS | 目标检测完成，共检测到 1 个目标
2025-11-10 14:44:28 | INFO | 检测结果已保存至：检测结果.jpg
2025-11-10 15:53:52 | INFO | 开始读取图像：D:\robotstar__visual\2\2\3-1-3.jpg
2025-11-10 15:53:52 | SUCCESS | 图像读取成功，尺寸：371x496
2025-11-10 15:53:52 | INFO | 检测到目标，位置：(176, 128)，大小：122x105，面积：9557.00
2025-11-10 15:53:52 | SUCCESS | 目标检测完成，共检测到 1 个目标
2025-11-10 15:53:52 | INFO | 检测结果已保存至：检测结果.jpg
2025-11-10 19:42:10 | INFO | 开始读取图像：D:\robotstar__visual\2\2\3-1-3.jpg
2025-11-10 19:42:10 | SUCCESS | 图像读取成功，尺寸：371x496
2025-11-10 19:42:10 | INFO | 检测到目标，位置：(176, 128)，大小：122x105，面积：9557.00
2025-11-10 19:42:10 | SUCCESS | 目标检测完成，共检测到 1 个目标
2025-11-10 19:42:10 | INFO | 检测结果已保存至：检测结果.jpg
